# delz, RspecovRlambda, pmem
0.0021533 0.909171 0.681892
-0.00127113 0.77543 0.832798
5.58347e-05 0.80436 0.957112
-0.00429823 0.894437 0.725553
0.000693738 0.874125 0.85692
-0.00289488 0.808224 0.935374
-0.000253476 0.995495 0.0765927
-0.0265458 1.0097 0.0380217
-0.00274403 0.911342 0.651236
-0.00112263 0.908863 0.574135
-0.000226796 0.981676 0.13448
0.00431554 0.763951 0.877551
0.00435955 0.733952 0.0601828
0.00108329 0.556052 0.973128
0.00378174 0.50881 0.971509
-0.000759907 0.936804 0.46896
-0.0007504 0.857593 0.909963
0.000688903 0.791934 0.925016
0.00681472 0.725967 0.952714
0.000521474 0.708523 0.94391
-0.00404411 0.637193 0.950414
0.00385445 0.560384 0.944237
0.00636015 0.491852 0.965781
-0.0003879 0.552188 0.956743
-0.000489019 0.438118 0.920591
0.000317551 1.03244 0.0109197
-0.0019256 0.880474 0.848608
-0.00681616 0.844501 0.906434
-6.95065e-05 0.705529 0.957547
0.00139619 0.601796 0.966722
0.00924511 0.514217 0.970297
-0.0041091 1.03134 0.0109123
0.00388562 0.867584 0.883687
0.00110513 0.797273 0.936908
0.000111073 0.901474 0.381882
-0.0262555 0.457401 0.975299
-0.00176299 0.552048 0.972635
-0.00156973 0.30694 0.9884
-0.00234928 0.310165 0.988187
-0.00918894 0.643762 0.961981
0.0068036 0.584158 0.853373
0.00299384 0.529219 0.970896
-0.00319757 0.378814 0.950237
-0.00212924 0.54954 0.941933
0.0831803 0.709833 0.0680067
0.000198483 0.637974 0.948101
0.12805 0.573249 0.364554
0.00146933 0.766441 0.94453
-0.00479848 0.666289 0.934295
0.00350062 0.729884 0.851773
0.00109942 0.673901 0.952142
0.00332735 0.645956 0.543759
0.0101083 0.558663 0.205966
-0.00417462 0.518283 0.930529
-0.00199991 0.337283 0.983907
0.000182413 0.578695 0.951012
-0.0067098 0.377684 0.982942
-0.00130773 0.182204 0.660639
0.000333488 0.386549 0.959835
-0.00108478 0.36455 0.969909
-0.00243631 0.347115 0.983367
-0.00396618 0.24526 0.981083
-0.00127685 0.38061 0.971836
-0.00475471 0.214219 0.993211
0.00459226 0.167036 0.984403
0.00584795 0.16779 0.994579
-0.0003286 0.393081 0.98319
0.00184914 0.341041 0.983541
-0.0040527 0.56989 0.9585
-0.00215588 0.536985 0.964616
0.000255257 0.419331 0.980628
-0.000778496 0.418979 0.984743
-0.00213687 0.29472 0.98393
-0.00518078 0.271109 0.988037
0.00426571 0.529654 0.979537
0.00277362 0.501866 0.941091
-0.000659525 0.376383 0.963391
-0.0258538 0.923805 0.53351
-0.00616128 1.0244 0.0176759
-0.00131166 0.551102 0.966863
0.000887439 0.609049 0.972886
0.0013331 0.617385 0.664642
-0.00302366 0.69101 0.873582
-0.000159338 0.576026 0.889668
0.00469368 0.493843 0.960409
0.0056944 0.547134 0.9749
-0.00227886 0.522704 0.975754
-0.00630443 0.541379 0.963575
-0.00480273 0.668902 0.955468
-0.00145701 0.365811 0.98293
0.00597697 0.526715 0.942596
0.0209029 0.509099 0.131824
-0.0238114 0.532243 0.148749
-0.000669435 0.457014 0.880807
-0.00327657 0.276835 0.988089
0.000941515 0.41302 0.972594
2.32384e-05 0.399614 0.979233
-0.0059661 0.467639 0.944155
0.00190879 0.385354 0.975893
-0.000454016 0.433847 0.969664
0.00129291 0.468335 0.975093
0.000699379 0.560159 0.963628
-0.00358741 0.380496 0.957128
0.00569849 0.10942 0.820951
-0.0014718 0.048667 0.957035
-0.0102263 0.0279929 0.996838
-0.00261211 0.0670315 0.990217
0 0 1
0.0138113 0.0741716 0.857952
-0.000510499 0.0957567 0.970423
0.0023858 0.149846 0.996558
-0.000427686 0.0896461 0.970177
-0.00689146 0.219265 0.991489
-0.000531718 0.274916 0.641429
-0.00093998 0.266951 0.967823
0.000977904 0.14179 0.996233
0.00240396 0.193163 0.987926
0.00138767 0.109026 0.995258
-0.00342166 0.279106 0.990139
0.000598229 0.174835 0.994009
-0.0064326 0.265472 0.989388
-0.00403447 0.25782 0.991822
0.0568195 0.329404 0.962942
0.000349373 0.216205 0.974124
0.000988819 0.292524 0.97106
-0.00073757 0.119964 0.984072
0.00351724 0.114392 0.947352
-0.00731395 1.01583 0.0248972
0.00721211 0.867229 0.876515
-0.00378834 0.937292 0.454351
-0.000544928 0.839419 0.845552
0.00103819 0.709873 0.968238
0.000829868 0.863524 0.754222
0.0178786 0.997489 0.0707602
-0.0216634 0.992243 0.0306092
0.0202579 0.737557 0.0671719
-0.00472327 0.916858 0.651213
-0.00256692 0.848289 0.778338
0.00171298 0.949969 0.432543
0.00334376 0.544365 0.88808
0.00909369 0.527565 0.96406
0.00171161 0.748945 0.930046
0.00199864 0.905007 0.0224304
0.000785746 0.760365 0.93201
0.00368147 0.575147 0.936825
0.142958 0.905008 0.109692
0.00885049 0.558756 0.946386
0.00375978 0.322022 0.900007
0.0122251 0.765461 0.874698
0.0112412 0.931547 0.577109
0.00465581 0.840964 0.526469
0.0106627 0.456201 0.971703
0.00874731 0.433634 0.977868
0.00727633 0.327514 0.982237
0.00191221 0.534118 0.958125
0.00662322 0.407281 0.955402
0.00267627 0.258059 0.976015
0.00171158 0.268276 0.981137
0.00938822 0.243406 0.985032
0.00279879 0.242961 0.932701
0.00213003 0.404228 0.970579
0.0065591 0.368221 0.976245
