,model_name,alpha,lgM1,lgkappa,lgMcut,sigmalogM,sigmaintr
0,grid_0,0.5,12.5,-1.0,11.0,0.1,0.0
1,grid_1,0.5,12.5,-1.0,11.0,0.1,0.25
2,grid_2,0.5,12.5,-1.0,11.0,0.1,0.5
3,grid_3,0.5,12.5,-1.0,11.0,0.30000000000000004,0.0
4,grid_4,0.5,12.5,-1.0,11.0,0.30000000000000004,0.25
5,grid_5,0.5,12.5,-1.0,11.0,0.30000000000000004,0.5
6,grid_6,0.5,12.5,-1.0,11.0,0.5,0.0
7,grid_7,0.5,12.5,-1.0,11.0,0.5,0.25
8,grid_8,0.5,12.5,-1.0,11.0,0.5,0.5
9,grid_9,0.5,12.5,-1.0,11.75,0.1,0.0
10,grid_10,0.5,12.5,-1.0,11.75,0.1,0.25
11,grid_11,0.5,12.5,-1.0,11.75,0.1,0.5
12,grid_12,0.5,12.5,-1.0,11.75,0.30000000000000004,0.0
13,grid_13,0.5,12.5,-1.0,11.75,0.30000000000000004,0.25
14,grid_14,0.5,12.5,-1.0,11.75,0.30000000000000004,0.5
15,grid_15,0.5,12.5,-1.0,11.75,0.5,0.0
16,grid_16,0.5,12.5,-1.0,11.75,0.5,0.25
17,grid_17,0.5,12.5,-1.0,11.75,0.5,0.5
18,grid_18,0.5,12.5,-1.0,12.5,0.1,0.0
19,grid_19,0.5,12.5,-1.0,12.5,0.1,0.25
20,grid_20,0.5,12.5,-1.0,12.5,0.1,0.5
21,grid_21,0.5,12.5,-1.0,12.5,0.30000000000000004,0.0
22,grid_22,0.5,12.5,-1.0,12.5,0.30000000000000004,0.25
23,grid_23,0.5,12.5,-1.0,12.5,0.30000000000000004,0.5
24,grid_24,0.5,12.5,-1.0,12.5,0.5,0.0
25,grid_25,0.5,12.5,-1.0,12.5,0.5,0.25
26,grid_26,0.5,12.5,-1.0,12.5,0.5,0.5
27,grid_27,0.5,12.5,0.0,11.0,0.1,0.0
28,grid_28,0.5,12.5,0.0,11.0,0.1,0.25
29,grid_29,0.5,12.5,0.0,11.0,0.1,0.5
30,grid_30,0.5,12.5,0.0,11.0,0.30000000000000004,0.0
31,grid_31,0.5,12.5,0.0,11.0,0.30000000000000004,0.25
32,grid_32,0.5,12.5,0.0,11.0,0.30000000000000004,0.5
33,grid_33,0.5,12.5,0.0,11.0,0.5,0.0
34,grid_34,0.5,12.5,0.0,11.0,0.5,0.25
35,grid_35,0.5,12.5,0.0,11.0,0.5,0.5
36,grid_36,0.5,12.5,0.0,11.75,0.1,0.0
37,grid_37,0.5,12.5,0.0,11.75,0.1,0.25
38,grid_38,0.5,12.5,0.0,11.75,0.1,0.5
39,grid_39,0.5,12.5,0.0,11.75,0.30000000000000004,0.0
40,grid_40,0.5,12.5,0.0,11.75,0.30000000000000004,0.25
41,grid_41,0.5,12.5,0.0,11.75,0.30000000000000004,0.5
42,grid_42,0.5,12.5,0.0,11.75,0.5,0.0
43,grid_43,0.5,12.5,0.0,11.75,0.5,0.25
44,grid_44,0.5,12.5,0.0,11.75,0.5,0.5
45,grid_45,0.5,12.5,0.0,12.5,0.1,0.0
46,grid_46,0.5,12.5,0.0,12.5,0.1,0.25
47,grid_47,0.5,12.5,0.0,12.5,0.1,0.5
48,grid_48,0.5,12.5,0.0,12.5,0.30000000000000004,0.0
49,grid_49,0.5,12.5,0.0,12.5,0.30000000000000004,0.25
50,grid_50,0.5,12.5,0.0,12.5,0.30000000000000004,0.5
51,grid_51,0.5,12.5,0.0,12.5,0.5,0.0
52,grid_52,0.5,12.5,0.0,12.5,0.5,0.25
53,grid_53,0.5,12.5,0.0,12.5,0.5,0.5
54,grid_54,0.5,12.5,1.0,11.0,0.1,0.0
55,grid_55,0.5,12.5,1.0,11.0,0.1,0.25
56,grid_56,0.5,12.5,1.0,11.0,0.1,0.5
57,grid_57,0.5,12.5,1.0,11.0,0.30000000000000004,0.0
58,grid_58,0.5,12.5,1.0,11.0,0.30000000000000004,0.25
59,grid_59,0.5,12.5,1.0,11.0,0.30000000000000004,0.5
60,grid_60,0.5,12.5,1.0,11.0,0.5,0.0
61,grid_61,0.5,12.5,1.0,11.0,0.5,0.25
62,grid_62,0.5,12.5,1.0,11.0,0.5,0.5
63,grid_63,0.5,12.5,1.0,11.75,0.1,0.0
64,grid_64,0.5,12.5,1.0,11.75,0.1,0.25
65,grid_65,0.5,12.5,1.0,11.75,0.1,0.5
66,grid_66,0.5,12.5,1.0,11.75,0.30000000000000004,0.0
67,grid_67,0.5,12.5,1.0,11.75,0.30000000000000004,0.25
68,grid_68,0.5,12.5,1.0,11.75,0.30000000000000004,0.5
69,grid_69,0.5,12.5,1.0,11.75,0.5,0.0
70,grid_70,0.5,12.5,1.0,11.75,0.5,0.25
71,grid_71,0.5,12.5,1.0,11.75,0.5,0.5
72,grid_72,0.5,12.5,1.0,12.5,0.1,0.0
73,grid_73,0.5,12.5,1.0,12.5,0.1,0.25
74,grid_74,0.5,12.5,1.0,12.5,0.1,0.5
75,grid_75,0.5,12.5,1.0,12.5,0.30000000000000004,0.0
76,grid_76,0.5,12.5,1.0,12.5,0.30000000000000004,0.25
77,grid_77,0.5,12.5,1.0,12.5,0.30000000000000004,0.5
78,grid_78,0.5,12.5,1.0,12.5,0.5,0.0
79,grid_79,0.5,12.5,1.0,12.5,0.5,0.25
80,grid_80,0.5,12.5,1.0,12.5,0.5,0.5
81,grid_81,0.5,12.9,-1.0,11.0,0.1,0.0
82,grid_82,0.5,12.9,-1.0,11.0,0.1,0.25
83,grid_83,0.5,12.9,-1.0,11.0,0.1,0.5
84,grid_84,0.5,12.9,-1.0,11.0,0.30000000000000004,0.0
85,grid_85,0.5,12.9,-1.0,11.0,0.30000000000000004,0.25
86,grid_86,0.5,12.9,-1.0,11.0,0.30000000000000004,0.5
87,grid_87,0.5,12.9,-1.0,11.0,0.5,0.0
88,grid_88,0.5,12.9,-1.0,11.0,0.5,0.25
89,grid_89,0.5,12.9,-1.0,11.0,0.5,0.5
90,grid_90,0.5,12.9,-1.0,11.75,0.1,0.0
91,grid_91,0.5,12.9,-1.0,11.75,0.1,0.25
92,grid_92,0.5,12.9,-1.0,11.75,0.1,0.5
93,grid_93,0.5,12.9,-1.0,11.75,0.30000000000000004,0.0
94,grid_94,0.5,12.9,-1.0,11.75,0.30000000000000004,0.25
95,grid_95,0.5,12.9,-1.0,11.75,0.30000000000000004,0.5
96,grid_96,0.5,12.9,-1.0,11.75,0.5,0.0
97,grid_97,0.5,12.9,-1.0,11.75,0.5,0.25
98,grid_98,0.5,12.9,-1.0,11.75,0.5,0.5
99,grid_99,0.5,12.9,-1.0,12.5,0.1,0.0
100,grid_100,0.5,12.9,-1.0,12.5,0.1,0.25
101,grid_101,0.5,12.9,-1.0,12.5,0.1,0.5
102,grid_102,0.5,12.9,-1.0,12.5,0.30000000000000004,0.0
103,grid_103,0.5,12.9,-1.0,12.5,0.30000000000000004,0.25
104,grid_104,0.5,12.9,-1.0,12.5,0.30000000000000004,0.5
105,grid_105,0.5,12.9,-1.0,12.5,0.5,0.0
106,grid_106,0.5,12.9,-1.0,12.5,0.5,0.25
107,grid_107,0.5,12.9,-1.0,12.5,0.5,0.5
108,grid_108,0.5,12.9,0.0,11.0,0.1,0.0
109,grid_109,0.5,12.9,0.0,11.0,0.1,0.25
110,grid_110,0.5,12.9,0.0,11.0,0.1,0.5
111,grid_111,0.5,12.9,0.0,11.0,0.30000000000000004,0.0
112,grid_112,0.5,12.9,0.0,11.0,0.30000000000000004,0.25
113,grid_113,0.5,12.9,0.0,11.0,0.30000000000000004,0.5
114,grid_114,0.5,12.9,0.0,11.0,0.5,0.0
115,grid_115,0.5,12.9,0.0,11.0,0.5,0.25
116,grid_116,0.5,12.9,0.0,11.0,0.5,0.5
117,grid_117,0.5,12.9,0.0,11.75,0.1,0.0
118,grid_118,0.5,12.9,0.0,11.75,0.1,0.25
119,grid_119,0.5,12.9,0.0,11.75,0.1,0.5
120,grid_120,0.5,12.9,0.0,11.75,0.30000000000000004,0.0
121,grid_121,0.5,12.9,0.0,11.75,0.30000000000000004,0.25
122,grid_122,0.5,12.9,0.0,11.75,0.30000000000000004,0.5
123,grid_123,0.5,12.9,0.0,11.75,0.5,0.0
124,grid_124,0.5,12.9,0.0,11.75,0.5,0.25
125,grid_125,0.5,12.9,0.0,11.75,0.5,0.5
126,grid_126,0.5,12.9,0.0,12.5,0.1,0.0
127,grid_127,0.5,12.9,0.0,12.5,0.1,0.25
128,grid_128,0.5,12.9,0.0,12.5,0.1,0.5
129,grid_129,0.5,12.9,0.0,12.5,0.30000000000000004,0.0
130,grid_130,0.5,12.9,0.0,12.5,0.30000000000000004,0.25
131,grid_131,0.5,12.9,0.0,12.5,0.30000000000000004,0.5
132,grid_132,0.5,12.9,0.0,12.5,0.5,0.0
133,grid_133,0.5,12.9,0.0,12.5,0.5,0.25
134,grid_134,0.5,12.9,0.0,12.5,0.5,0.5
135,grid_135,0.5,12.9,1.0,11.0,0.1,0.0
136,grid_136,0.5,12.9,1.0,11.0,0.1,0.25
137,grid_137,0.5,12.9,1.0,11.0,0.1,0.5
138,grid_138,0.5,12.9,1.0,11.0,0.30000000000000004,0.0
139,grid_139,0.5,12.9,1.0,11.0,0.30000000000000004,0.25
140,grid_140,0.5,12.9,1.0,11.0,0.30000000000000004,0.5
141,grid_141,0.5,12.9,1.0,11.0,0.5,0.0
142,grid_142,0.5,12.9,1.0,11.0,0.5,0.25
143,grid_143,0.5,12.9,1.0,11.0,0.5,0.5
144,grid_144,0.5,12.9,1.0,11.75,0.1,0.0
145,grid_145,0.5,12.9,1.0,11.75,0.1,0.25
146,grid_146,0.5,12.9,1.0,11.75,0.1,0.5
147,grid_147,0.5,12.9,1.0,11.75,0.30000000000000004,0.0
148,grid_148,0.5,12.9,1.0,11.75,0.30000000000000004,0.25
149,grid_149,0.5,12.9,1.0,11.75,0.30000000000000004,0.5
150,grid_150,0.5,12.9,1.0,11.75,0.5,0.0
151,grid_151,0.5,12.9,1.0,11.75,0.5,0.25
152,grid_152,0.5,12.9,1.0,11.75,0.5,0.5
153,grid_153,0.5,12.9,1.0,12.5,0.1,0.0
154,grid_154,0.5,12.9,1.0,12.5,0.1,0.25
155,grid_155,0.5,12.9,1.0,12.5,0.1,0.5
156,grid_156,0.5,12.9,1.0,12.5,0.30000000000000004,0.0
157,grid_157,0.5,12.9,1.0,12.5,0.30000000000000004,0.25
158,grid_158,0.5,12.9,1.0,12.5,0.30000000000000004,0.5
159,grid_159,0.5,12.9,1.0,12.5,0.5,0.0
160,grid_160,0.5,12.9,1.0,12.5,0.5,0.25
161,grid_161,0.5,12.9,1.0,12.5,0.5,0.5
162,grid_162,0.5,13.3,-1.0,11.0,0.1,0.0
163,grid_163,0.5,13.3,-1.0,11.0,0.1,0.25
164,grid_164,0.5,13.3,-1.0,11.0,0.1,0.5
165,grid_165,0.5,13.3,-1.0,11.0,0.30000000000000004,0.0
166,grid_166,0.5,13.3,-1.0,11.0,0.30000000000000004,0.25
167,grid_167,0.5,13.3,-1.0,11.0,0.30000000000000004,0.5
168,grid_168,0.5,13.3,-1.0,11.0,0.5,0.0
169,grid_169,0.5,13.3,-1.0,11.0,0.5,0.25
170,grid_170,0.5,13.3,-1.0,11.0,0.5,0.5
171,grid_171,0.5,13.3,-1.0,11.75,0.1,0.0
172,grid_172,0.5,13.3,-1.0,11.75,0.1,0.25
173,grid_173,0.5,13.3,-1.0,11.75,0.1,0.5
174,grid_174,0.5,13.3,-1.0,11.75,0.30000000000000004,0.0
175,grid_175,0.5,13.3,-1.0,11.75,0.30000000000000004,0.25
176,grid_176,0.5,13.3,-1.0,11.75,0.30000000000000004,0.5
177,grid_177,0.5,13.3,-1.0,11.75,0.5,0.0
178,grid_178,0.5,13.3,-1.0,11.75,0.5,0.25
179,grid_179,0.5,13.3,-1.0,11.75,0.5,0.5
180,grid_180,0.5,13.3,-1.0,12.5,0.1,0.0
181,grid_181,0.5,13.3,-1.0,12.5,0.1,0.25
182,grid_182,0.5,13.3,-1.0,12.5,0.1,0.5
183,grid_183,0.5,13.3,-1.0,12.5,0.30000000000000004,0.0
184,grid_184,0.5,13.3,-1.0,12.5,0.30000000000000004,0.25
185,grid_185,0.5,13.3,-1.0,12.5,0.30000000000000004,0.5
186,grid_186,0.5,13.3,-1.0,12.5,0.5,0.0
187,grid_187,0.5,13.3,-1.0,12.5,0.5,0.25
188,grid_188,0.5,13.3,-1.0,12.5,0.5,0.5
189,grid_189,0.5,13.3,0.0,11.0,0.1,0.0
